,EEG.AF3/Theta,EEG.AF3/Alpha,EEG.AF3/BetaL,EEG.AF3/BetaH,EEG.AF3/Gamma,EEG.T7/Theta,EEG.T7/Alpha,EEG.T7/BetaL,EEG.T7/BetaH,EEG.T7/Gamma,EEG.Pz/Theta,EEG.Pz/Alpha,EEG.Pz/BetaL,EEG.Pz/BetaH,EEG.Pz/Gamma,EEG.T8/Theta,EEG.T8/Alpha,EEG.T8/BetaL,EEG.T8/BetaH,EEG.T8/Gamma,EEG.AF4/Theta,EEG.AF4/Alpha,EEG.AF4/BetaL,EEG.AF4/BetaH,EEG.AF4/Gamma
0,8.096016471325798,6.010410332503627,8.819048950723538,4.692933432004414,3.1629534188931707,6.742151026335141,3.254960634033311,4.161614599337527,3.778777980162024,2.298943845059997,6.76266830471354,5.889601977707517,5.863433053932078,3.1786463287530933,2.1062911977217484,9.17213194849273,8.072294821188807,9.036682888528402,4.215830009879086,5.132127264799407,6.701822622372726,4.4753524833178,5.741580737113346,3.242379638903283,2.7466799238055946
0,8.765457258647938,5.084429265102801,6.4580136512123545,3.9801401165201695,3.2809070451723334,6.576031084881268,4.17658009902299,4.057752830533407,3.270792867030567,2.3540427934083215,4.636875548522313,6.748004193919994,5.358638582017876,3.2565639802653736,2.048551663009863,4.9537039298285634,3.722949720346862,5.367273418065482,4.839328921523697,4.699574589788196,6.964356772423171,3.9567235663146065,4.837064643896598,2.6378166212830716,2.1235640115897354
0,10.891422218175297,5.251826753751282,5.098745026609081,4.493754648562003,2.6285568870107774,7.247912452819167,4.7358888253679225,4.136769203101844,3.4397455586120076,2.363741269684663,4.723331353754997,6.174607452290134,5.228418114640631,2.9717363385737117,2.2963338847553496,4.538160486108385,3.642948279163299,6.866888712787246,4.8196314505284565,5.747994353069551,6.192440758522295,4.110207188899061,4.3988741944968694,3.1167297714556694,1.8900678263358592
0,5.9203242286538815,5.787907479470998,4.699301502907247,3.679077227391491,2.808479450353373,5.767202496570424,5.881966151321698,4.056910151345569,3.8020549203909937,2.436928464609399,5.716713761601277,7.630866688966965,4.631339701785971,3.477464339396673,2.764939414987591,10.005094236909049,7.344855367795006,8.615092941649085,5.124217308870383,6.200642825081992,9.372760617557496,6.2512714029190075,4.843793793609981,3.67598890790064,2.4305942321099017
0,7.129028385719366,7.469508912331802,5.750469803254951,3.692974083066963,2.889498205536003,4.970242972556764,6.54994685729945,4.884658325575004,2.7022901333228218,1.6445065521832416,6.685759203129541,10.351952381260958,7.021974833734831,3.4268099484862207,2.482222608729892,8.169121896584887,8.248540570069917,9.793735832114583,3.9669767168353176,5.16307545395791,8.336530180341004,8.785082229587811,5.576186783006978,3.184611621598657,2.114128156486079
0,6.42908228191145,5.629532090453841,5.439250047917399,2.658143182587367,2.847932239677154,3.4767862575753776,4.522215484457715,3.0489661274313336,2.010604976292952,1.4564703681308653,5.339092236527778,5.397146414396564,5.089235283808227,3.603644282370349,2.302022664919579,6.1877882879417605,5.867093550681837,6.797755362972298,2.969300258746044,4.7453665329146455,5.466364363228282,5.590640453134334,5.26054202484904,2.5338743955343594,2.3735882921035647
0,5.670166976929608,4.5992008567147975,5.558273671920378,2.84637817073637,2.5041429835177924,3.4015273134008432,2.5982901732170935,3.113730751251142,2.0185632482050675,1.4306497960041245,3.5829798054351314,4.219134365801398,5.827273432206468,3.369777506343209,1.91752592560515,6.359371380072944,5.24579960760847,6.715396458054402,2.8771623628283587,3.4622676178009355,5.649921537336665,4.7201448309998995,5.20351857193476,2.594002155169861,2.2495087931449476
0,6.705891715249395,7.371723180570854,6.378004408170358,2.6338578177478587,2.5283608782086033,4.509372044924425,4.597853603474851,3.6576335595734237,1.9862271980951038,1.5443423103442502,7.440310729887896,6.862259471821474,5.255325326594975,3.195956163278843,2.1526008781285872,5.954164166485386,7.122294877138697,5.953181898403989,3.9207392748238163,3.335937007013258,6.027352405513427,7.781618602664537,6.297768029355639,2.6262483040084823,2.4159828373172645
0,5.064826593236739,5.790921982069598,5.0679163613131415,2.8551673174861514,2.7742675579170735,3.3404162844439695,3.856814595278619,3.1163597312642937,2.105429394607248,1.7683755772451957,6.621197955068867,4.234588274886017,5.059278595156939,3.482136431435104,2.431317368086872,4.173391291877143,5.745929069116145,6.585939782914073,4.7471121250763035,4.261956098649181,4.551696353444499,5.947995565805183,5.860633711156894,2.77335343743857,2.3865998158697304
0,6.676132389843952,6.194796204033905,6.031186454250048,3.102109111849707,3.6923795821952052,2.5826129346291,3.164149939972549,3.553264630660731,1.5995722498951144,2.094319583116487,6.6143174524336725,5.437310665923812,5.413721087225432,2.495986035563782,2.686697791327867,6.705961325612689,6.7441105509021595,5.916428746963367,4.700691260715049,5.040278239773295,4.713110236208555,6.602438857329153,5.808612927818264,2.4544093618565883,2.19787668288025
0,8.46418699033227,7.199935169714695,5.384914015971542,2.8612531976933466,3.876776753490382,3.6945065244293516,4.3796437702156155,3.41450604742962,1.5916960430895326,2.0078414357669723,6.526830455216782,6.056964097314828,3.8214620067598823,2.6703040943860463,2.6421028468698,9.730601448631603,6.008699130633193,5.418332141640311,4.497690408278099,5.653018060242251,8.386410921525,7.230759174758731,4.831191062577952,2.5634677310706713,2.4076356622753297
0,8.496813686810283,7.049477552034527,5.740522668295695,4.9529486484047185,4.532432310643413,5.652827718616823,4.937438394942907,4.198985516668953,2.415357557991027,1.966682252445167,6.876931410701803,5.75172458885111,5.054697603419233,3.9831526383748055,3.150785709885509,8.361160062578888,6.257475851595778,6.739221519479756,4.174314693673146,5.589858358953687,6.821742296181924,6.206727148049969,4.45998158468315,3.29116180252757,2.4449225065742883
0,5.443090505594553,7.154430707734425,5.596275814610323,4.304912380200402,4.941569593296502,3.146267395727417,4.847328114114736,4.498787102582431,2.1097985548918357,1.9066617205351717,5.89206279456021,5.016318065148771,4.608381228663867,3.240342825443512,3.0586169905641842,6.69492662698376,5.7602696958307344,7.054231522125328,4.303708280133567,5.344205916848445,5.043144713378311,6.301036398667707,5.80776565126632,3.327084143810449,2.6796123769706166
0,9.830064647481741,6.845560270303411,5.584702476865272,4.5221518772532985,4.38612013149433,3.8791299705369604,2.3328150587867116,5.099522102515604,1.878868298809596,1.5848753839350105,7.395391674604037,4.347931716731049,7.416291978877993,3.223175731403869,2.731048867984787,5.2969914422567514,4.825374279617536,7.951067386052998,3.1895935135083717,4.678667464328496,7.208395412777316,6.558612332263685,6.889879992801077,2.9347842748676363,2.492109077796608
0,6.381105389876749,6.607449002298466,6.121474369834218,3.6112229511025133,4.155790571232565,3.6849463838624716,2.725926122149597,4.517614928056318,2.0388901655728913,1.5637844213973973,5.860638283834702,4.342509379849123,8.490094035148823,3.7208081066806526,2.7364884588958662,3.2003283853095637,4.076838077164936,6.002622432580492,5.070381254496101,4.2712426390039075,5.736590397748762,6.188376723510832,6.4448161644236155,3.2290243354944876,2.670112356834669
0,7.176925628772406,7.84950418431104,4.896151212224994,4.490118575131585,3.7683350276370113,3.5879620496426625,3.6843535574579933,3.9118703286261782,1.8561650912395684,1.4376313124003248,6.319199618296023,7.49144451709662,7.896189624451933,2.407120099468014,2.136632679415891,3.598035357288083,5.914732532068183,6.115552395522883,4.472562526630937,4.6088763287022205,6.084548732088568,7.686774534431994,6.138850237733124,2.4996033445142345,2.4707589941793224
0,9.584843077931492,7.528136467605586,5.543470643388706,4.8385060604443195,3.345421110257397,4.219800466738504,4.195326318814372,4.1514427412906745,2.179996681336778,1.7928846473465578,7.106565165385018,8.640279955823921,8.18847515960346,3.2557164410290915,2.3963002060091574,6.196133208351385,7.846096323437021,6.442968057985541,5.837456295782706,4.65421860583089,8.205953560486275,7.742499274396957,5.797690630164171,2.977425425424406,2.3043090620113333
0,6.8990072350416,8.500439004285084,6.040535205464286,3.622615299758192,3.220489386123988,2.145258694260897,4.372033098405621,3.100131473648562,1.6134357247010023,1.6871062610460728,7.909478091056799,8.81858651905697,6.276712512196845,2.3215147022656475,2.3168426634585177,4.887151915082893,7.631805694969637,6.272899598627138,5.912273939975488,4.777667619530223,6.3934544202434465,8.25804423900849,5.416990911995859,2.7847651788158556,2.359819602133714
0,6.172817424689193,7.670634997771364,5.754787388614352,4.269709700913695,2.972044903777295,3.214915932921776,3.7052857977255433,3.032743156972466,2.0897562515831067,1.5009350052049182,7.240040000251002,7.8671271403191465,4.879696558207002,2.506456467198892,1.9426806329074466,5.499288057125098,7.274202254928714,6.968296002937956,4.9261408411630505,5.256474876792221,5.732255222657035,7.0852240498845305,5.772255539274992,3.0670899355488204,2.172184883281455
0,6.842652596400899,4.977055198483603,4.075977633463691,2.831021182230814,2.8206406017094685,3.0340825333069668,3.1293630651307973,2.427531601987735,2.0376816844969263,1.5154201815311337,6.595394387549287,6.160723095128004,4.19567176283767,3.986658206024091,1.924531130351586,6.871978918583419,6.754837434371157,6.030681185915571,7.067509281693356,6.97375485126566,5.597618066112164,4.7191024130960555,4.19317810690937,3.064184681537833,2.1893397830116887
0,9.833493154011533,5.979458428004051,5.435901107297375,5.45188962468932,3.524051601072907,34.549491742198356,16.605598151247722,8.440220891025806,6.376805140907123,4.362498950571697,8.326068267853627,6.552453224290242,6.1492546428831165,4.945220671390798,2.60329203058438,25.926037844073726,10.8783620240158,10.904072901618495,10.793887074898823,11.613007799906217,11.337284371407202,5.799462224173173,6.349889324226676,5.971784734832422,2.9429724845060194
0,6.835344165938205,7.027469868402986,5.290901909018898,3.5258493652140914,3.3944305410050597,20.571372792094053,12.07091744646571,7.180391350965894,6.204990185894405,3.500102624444179,4.593565781776407,6.639422903524997,7.329716043777758,4.232983940372229,2.7443891038164407,18.80471681107607,8.748345205074608,10.750016303992428,9.72724024670378,14.404029795957372,6.896348000763043,6.348941709713006,5.790570866757908,3.764641120259978,2.5168244299109324
0,6.7323908940480965,7.635918638116804,5.819604721232481,4.189968403150892,3.856601123473907,18.88817379967825,12.296401248021388,8.216945511400699,6.045870809951886,3.815586135334844,6.555579292698093,8.53872265324427,8.60015432859019,4.643008012517433,3.270610516399845,20.077931592610383,9.880168435782071,13.571676879655772,10.71225732464183,15.17167607038896,8.553457420594885,7.051965703528947,5.841911527820704,4.242238650213564,3.100740314614142
0,10.037188928919823,7.271483215906166,4.7624118469388454,4.110610065504643,3.686417664219779,17.984707747769495,12.39291917035216,8.276632151644709,6.223972318782218,4.100317231564639,6.665954711707101,8.385397837365995,7.378253199196822,4.804339232810257,3.2546722233770993,13.50757015234909,9.117586932754543,13.467436252325044,9.804753976247058,15.315463608495795,9.460307881451756,6.567324980030878,5.432375679175118,4.311183786016563,2.9728797547142913
0,11.260519663215515,8.910364970015582,6.335834575484855,4.660082934217256,3.1843519068356483,15.654142836256625,12.47576267367469,7.551437237938285,5.709437022044169,5.380583575074603,11.249066052476058,9.450969665647737,6.653530282897707,4.659780255228492,3.285455381534583,11.41470828931291,8.56234509660546,8.326851030372945,6.90183439145197,11.682232121922027,13.940707661440147,8.812913960573464,6.50104247775622,5.562097581194399,2.970131269267835
0,11.710588571377546,7.9567597695935275,7.216462802683571,4.129057849771653,3.367844314182866,13.366660671540114,8.082623404843925,4.13245317975436,4.492674156804853,4.683052735673191,7.823884301403503,7.930546650727808,5.454314874643818,4.452405147369518,2.78011135921654,10.225018220193292,5.850155968972065,7.418501847932639,8.731938497625311,10.586016746623988,15.587872258889458,7.632365284104945,5.601713304700135,4.834066005101079,3.5005616254087046
0,12.270976493705813,9.44822890052371,6.357752192960832,3.6350104923746995,3.185555182760749,26.53409428329262,20.922750483022536,21.289249290918484,9.918335100339926,5.349176287085302,11.821623656221924,8.694638200238398,5.727734279643592,3.4646442506346604,2.1825109810976713,28.80003589895411,14.85982235867959,9.459382515929835,8.735527192861271,11.188032789853718,18.255964949792016,12.269932421681311,4.9466582824153695,4.616263533490288,3.4150360449037693
0,6.28077596575764,6.316782898858564,7.101945414153896,4.19063975234497,3.2430274941356223,27.218350168920864,18.037546401787775,16.81409166225975,7.973606654414179,5.916330240189428,5.91126706294446,6.347472885248884,7.131661323549369,3.7971438443301593,2.2929527302016104,21.918407731676986,10.277837253587128,13.807774723299204,8.81739142912558,9.722862395969305,6.25859595642091,5.741738317705553,7.078196375000539,3.149301292437113,3.12013619941984
0,5.6176841455191955,7.049912618958166,6.163694157636952,3.597540489114734,2.964354652023898,27.80402149275322,18.06846139291286,17.041559816817674,8.216086440066974,6.081706940029587,7.703003127124833,5.554007569150689,5.996573851131005,3.1113340453026614,2.338719794927332,19.842015819290424,15.840354803020844,11.129252080315112,9.226100651508014,9.319249490489009,4.352738843728436,6.108725294225638,6.364752474934735,3.3962852126247247,2.496792581328899
0,6.6591551406697205,6.3671406330601314,6.277094129602579,4.302361195949776,2.803829852551307,28.07482167382501,17.819310740505443,16.617781940305203,7.93114243739965,5.687606210784453,6.580134824479264,5.593500055666968,7.2301584943913655,3.1990936960697804,2.262358023198959,22.967642586390536,18.16508626050744,12.898299915234094,9.442084523915108,10.641067031441281,7.026778687437565,6.580204736746387,7.473222201718178,3.5409246414317743,2.5159969627222205
0,8.991519792220913,6.711519812997182,5.01055446650089,3.825985817751028,3.0574823724773807,19.694703032070702,11.049305129094703,8.900705728551143,8.00505263238967,5.623997852499379,7.979350179897932,7.247573571187502,7.045201781133602,3.0126550965178884,2.2968031011353305,11.168764103565666,10.178814615538421,12.78079533077199,8.349609169219628,7.625146188725471,7.563910381181313,6.547720301390839,4.716155661618283,3.325078017683066,2.625212389026681
0,6.973736376021087,5.499935404517588,5.604388960869728,3.75438503680878,3.649901499587916,7.030418028693409,4.5359427000174914,4.020005521569026,4.307854155213603,4.656585834343327,7.8749706634635,5.945983260789217,6.337068107653308,3.5692002947976214,2.7694884078384923,7.2473406857865355,5.2018542368755565,8.7504895832177,5.498563740292836,7.649845398117742,8.644341157022776,6.542508427435902,5.19452190522569,3.4916925211579573,2.8025020243842045
0,8.86480285144244,4.620600723548113,5.737276275141453,3.5947472996168366,3.256296915703685,2.498790550864498,3.750120844201539,3.37933951191999,3.8449184344714142,3.8327047476148897,8.525796490727299,7.910560375038905,6.866241069509345,3.770905552177016,2.5009402422289737,4.741422961146585,7.173818153990615,7.117057700469038,5.449433798623707,7.514755398175274,11.878846951789217,6.924198207424174,5.0155730251203465,3.1501819697059164,2.8880618017507436
0,5.536709679999732,4.4356832981135685,5.873555210075287,3.6287263340799236,2.9840810116381693,2.671488004538643,4.652554527713428,2.8542310270070543,4.602961720859666,3.8212648244607115,3.9334417668938984,4.796524066924531,5.829673069732811,3.7099497608787564,2.110564533496543,4.385879079630305,4.680224425632625,6.000955129101505,4.883480973796177,8.176853424208081,6.460184963522202,4.439474788022389,4.8466952397370235,3.372982329913564,2.475240973844124
0,8.056150895922935,5.749042416370942,5.536539148824113,3.414502787112005,2.711056007328179,4.4938330751668865,3.9981877260576404,2.9750006171590258,4.427074513121249,3.4775155269540043,5.954508291947453,5.146196375649477,5.118097004605501,3.491788286568542,2.181233629479855,5.413289080711697,6.495648820949019,6.071434168533678,5.470804984580866,9.182604774056852,6.554319133207477,5.156985710474989,5.144987987700674,1.8242684300933636,2.7222803678069125
0,7.078984623225327,6.509669287732841,4.90058910618629,3.6453356310958482,2.684491504790615,3.8533135424976104,3.7210466113273752,3.4018896672796095,4.708784131777587,3.3229259037668326,5.92741272894521,7.260001618055699,5.559638361151868,3.715821791894146,2.276705400252652,4.713053368812603,6.9399746735240555,6.889539612817517,6.657184148764048,8.783451415242045,6.235488111885514,5.905030743482102,4.713846581121598,2.56297953702326,2.8551768870475174
0,10.802821411178737,7.036499875812734,4.703896012718839,3.4587109305141253,3.1617787547246214,6.758762084179804,5.666444087926367,4.062954318985668,5.393585676713944,3.547398592153637,9.124727857428828,7.576601263931705,5.78675253681246,3.6230515906056127,2.649404476130531,7.786148151660173,9.630248707281094,7.681872560700834,6.4065940882414125,8.667375478281715,9.827079053359594,6.410430136981671,4.784370778913513,2.548861070314012,3.22653262953441
0,8.21932977744883,5.8170311789178015,5.931245374889926,4.289712963357111,2.905754758215564,5.627583840969203,4.23392805661212,4.213491835569319,4.261611313928642,3.5412850682242416,6.3878302983471285,7.15484255178095,6.019412782679725,3.0129108257661286,1.9712671894136204,6.1282386853151465,7.729292503531627,7.209679657128213,5.862631799766102,6.898950718758272,7.118492697697735,5.807774849977232,5.492018329674077,2.868272929878368,2.6732299993700757
